                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.85811,                0.70608,                 1.1685,                0.91692,                0.82404,                0.91748,                0.65526,                 1.0099,                0.68849,                 1.2472,             0.00061079,             0.00061079,             0.00061079
                     66,                0.84891,                0.69117,                 1.1457,                0.87169,                0.84798,                0.90988,                0.63961,                 1.0552,                0.71062,                 1.3008,             0.00059429,             0.00059429,             0.00059429
                     67,                0.84718,                0.68372,                 1.1415,                0.89434,                0.83302,                0.91491,                0.66129,                 1.0269,                0.67711,                 1.2682,             0.00057778,             0.00057778,             0.00057778
                     68,                 0.8461,                 0.6904,                 1.1373,                0.91581,                0.86947,                0.92628,                0.66715,                 1.0307,                0.69178,                 1.2752,             0.00056128,             0.00056128,             0.00056128
                     69,                0.82444,                0.66172,                 1.1309,                0.89405,                0.86992,                0.92237,                0.66152,                0.99622,                0.64471,                 1.2405,             0.00054478,             0.00054478,             0.00054478
                     70,                0.82022,                0.66917,                 1.1315,                0.91872,                0.85717,                 0.9271,                0.67343,                0.99673,                0.61324,                 1.2593,             0.00052827,             0.00052827,             0.00052827
                     71,                  0.807,                0.64626,                 1.1296,                0.86917,                0.86475,                0.92692,                0.68321,                0.98277,                 0.6405,                 1.2507,             0.00051177,             0.00051177,             0.00051177
                     72,                0.81543,                0.66111,                 1.1306,                0.93274,                0.85643,                0.93625,                0.68508,                0.98086,                0.61247,                 1.2398,             0.00049527,             0.00049527,             0.00049527
                     73,                0.79469,                0.63531,                 1.1242,                0.90715,                 0.8652,                0.92581,                0.68288,                0.99958,                0.63404,                 1.2594,             0.00047876,             0.00047876,             0.00047876
                     74,                  0.805,                0.64413,                  1.142,                0.89939,                0.87534,                0.93474,                0.68966,                0.96443,                0.58745,                 1.2129,             0.00046226,             0.00046226,             0.00046226
                     75,                0.80078,                0.63241,                 1.1253,                0.90396,                 0.8748,                0.93525,                0.69772,                0.94424,                0.59337,                 1.2132,             0.00044576,             0.00044576,             0.00044576
                     76,                0.77978,                0.62471,                 1.1055,                0.92168,                0.86501,                 0.9357,                0.68514,                0.95562,                0.59869,                 1.2349,             0.00042925,             0.00042925,             0.00042925
                     77,                0.78377,                0.60908,                 1.1186,                0.89959,                0.87168,                0.93396,                0.69286,                0.94539,                 0.5751,                 1.2051,             0.00041275,             0.00041275,             0.00041275
                     78,                0.76817,                0.59732,                 1.1067,                0.92821,                0.85236,                0.93498,                0.69771,                 0.9094,                0.56524,                  1.179,             0.00039625,             0.00039625,             0.00039625
                     79,                0.75232,                0.59563,                  1.099,                0.93992,                0.86814,                0.93598,                0.70089,                0.92339,                0.56802,                 1.1888,             0.00037974,             0.00037974,             0.00037974
                     80,                0.73794,                0.58914,                 1.0877,                0.90968,                0.87369,                0.93112,                0.69615,                0.92436,                0.57656,                 1.2121,             0.00036324,             0.00036324,             0.00036324
                     81,                0.74207,                0.58513,                 1.0975,                0.90523,                0.87537,                 0.9335,                0.69561,                 0.9001,                0.58228,                 1.1721,             0.00034674,             0.00034674,             0.00034674
                     82,                  0.751,                0.59152,                 1.0995,                0.92281,                0.87642,                0.93942,                0.70198,                0.91147,                0.56834,                 1.1982,             0.00033023,             0.00033023,             0.00033023
                     83,                 0.7415,                0.58769,                 1.1004,                0.93557,                0.86446,                0.93932,                0.70973,                0.88836,                0.56729,                 1.1651,             0.00031373,             0.00031373,             0.00031373
                     84,                0.70436,                0.56142,                 1.0726,                0.93141,                0.87906,                 0.9446,                0.71139,                0.89033,                0.55318,                 1.1726,             0.00029723,             0.00029723,             0.00029723
                     85,                0.71344,                0.56977,                 1.0826,                0.92082,                0.87514,                0.93994,                0.71289,                0.87076,                0.53705,                 1.1688,             0.00028072,             0.00028072,             0.00028072
                     86,                0.72172,                0.56624,                  1.084,                0.91315,                0.88386,                0.94073,                   0.71,                0.89253,                 0.5544,                 1.1808,             0.00026422,             0.00026422,             0.00026422
                     87,                 0.7019,                0.55893,                 1.0833,                0.91637,                0.88108,                0.93974,                0.71575,                0.87643,                0.52877,                  1.171,             0.00024772,             0.00024772,             0.00024772
                     88,                0.70796,                0.55576,                 1.0744,                0.93571,                0.89227,                0.94825,                0.72232,                0.85847,                0.51463,                 1.1518,             0.00023121,             0.00023121,             0.00023121
                     89,                 0.6765,                0.54272,                 1.0677,                0.92659,                0.87879,                0.94528,                0.72238,                 0.8666,                0.51059,                 1.1733,             0.00021471,             0.00021471,             0.00021471
                     90,                0.69422,                 0.5503,                  1.067,                0.93796,                0.87979,                 0.9474,                0.72169,                0.87123,                0.51384,                 1.1804,             0.00019821,             0.00019821,             0.00019821
                     91,                0.56634,                0.41309,                 1.0042,                0.93929,                0.88071,                0.94229,                0.72091,                0.85947,                0.52246,                 1.1587,              0.0001817,              0.0001817,              0.0001817
                     92,                0.55501,                0.38653,                  1.003,                0.94391,                0.88974,                0.94816,                0.71802,                0.86257,                0.51272,                 1.1638,              0.0001652,              0.0001652,              0.0001652
                     93,                0.54429,                0.38865,                 1.0027,                0.94742,                0.87129,                0.94467,                0.72691,                0.85027,                0.51586,                 1.1538,              0.0001487,              0.0001487,              0.0001487
                     94,                0.54319,                0.37544,                0.99408,                0.93988,                0.88621,                0.94999,                0.73523,                0.83908,                0.48641,                 1.1436,             0.00013219,             0.00013219,             0.00013219
                     95,                0.52334,                0.36218,                0.98244,                0.94648,                0.87879,                  0.944,                0.73182,                0.83775,                0.50007,                 1.1516,             0.00011569,             0.00011569,             0.00011569
                     96,                0.51645,                0.35332,                0.98233,                0.95108,                0.87675,                0.94657,                0.73534,                0.83036,                0.48925,                 1.1456,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.51307,                0.36399,                 0.9814,                0.94504,                0.88496,                0.94651,                0.73526,                0.82384,                0.47862,                 1.1395,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.51267,                0.35391,                0.98188,                0.96227,                 0.8748,                0.94609,                 0.7373,                0.83295,                 0.4793,                  1.147,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 0.5069,                0.33921,                0.96466,                0.94046,                0.89217,                0.94829,                0.73904,                0.82734,                0.47088,                  1.144,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.49745,                0.34452,                0.96469,                0.96186,                0.87573,                0.95084,                0.74242,                0.82313,                0.46449,                 1.1451,             3.3173e-05,             3.3173e-05,             3.3173e-05
